time;a;d;g;r;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
0;108.489;3.755619;1.79138;0.0002635;6.96879;-6.5785;5.34999;2.20957;0.47131;0.46868;2.04157;0.72127;1.5649;-1.77913
10;111.845;3.7625079;1.80203;0.0798193;6.99836;-6.83913;5.66414;2.15896;0.62897;0.28967;2.45123;0.49268;1.66808;-1.63258
20;111.762;3.8941762;1.82141;0.1065993;7.98014;-6.5733;4.79234;2.12576;0.71034;0.65548;1.65222;-0.14794;1.25343;-2.31013
30;110.441;3.8395841;1.80587;0.10386;7.60269;-6.44778;5.14327;1.93517;0.82866;0.78246;2.03236;0.4152;1.77656;-1.64412
40;110.273;3.7551525;1.80696;0.1255403;7.57646;-5.75525;5.46695;1.89174;0.16401;-0.02854;1.75377;0.72467;1.59841;-1.56417
50;110.65;3.5142105;1.77662;0.1502448;6.5197;-5.59777;5.73833;1.2963;-0.37864;-0.13654;1.8197;0.40415;1.48567;-0.99764
60;109.704;3.5278223;1.7769;0.1637595;6.68752;-5.20818;5.40296;0.99914;-0.41743;-0.02632;1.77644;0.17071;1.30892;-1.22383
70;110.931;3.4768057;1.77454;0.2000121;6.81815;-4.40523;5.32087;0.9625;-0.36128;0.2049;1.32889;-0.3736;1.13044;-1.01227
80;110.686;3.4407523;1.77475;0.1761179;6.54368;-5.18318;5.66613;0.73185;0.09292;-0.08964;1.84514;0.41048;1.44661;-0.93075
90;108.83;3.5044713;1.79079;0.182527;7.0694;-5.02502;5.25063;1.04701;0.0306;-0.25473;1.5958;0.06198;1.02395;-1.05938
100;110.93;3.5735869;1.79085;0.1809826;7.18244;-5.01525;5.54276;1.17954;-0.133;-0.31383;1.63927;0.43455;1.27674;-1.04843
110;112.868;3.6305385;1.79668;0.1754698;7.36403;-5.02513;5.15383;0.94293;0.10277;0.08173;1.50775;0.28921;1.31547;-1.19996
120;110.534;3.7369285;1.80253;0.1971602;8.01107;-4.31675;5.24944;1.4181;0.16987;0.21629;1.61904;-0.2981;1.34557;-1.2749
130;111.231;3.7088904;1.81931;0.20004;8.25901;-4.48925;4.97492;1.52642;0.1766;0.27839;1.48215;-0.2069;1.37908;-1.37371
140;111.47;3.6940863;1.81337;0.2140361;8.1535;-4.03545;5.21908;1.4018;0.12187;0.18992;1.36148;-0.23434;1.3843;-1.11756
150;111.249;3.533406;1.7973;0.2186936;7.32428;-4.26457;4.81643;1.2287;0.40226;0.41576;1.26393;-0.2784;0.81504;-0.95095
160;111.65;3.3935828;1.78518;0.2573369;6.72765;-3.68827;4.98178;1.10533;0.2211;0.35651;1.42052;-0.1537;0.77486;-0.72339
170;109.737;3.42312;1.78754;0.2283427;7.06961;-4.38933;5.16144;0.96338;0.15361;0.07751;1.52241;0.04911;1.08447;-0.6144
180;113.874;3.5337944;1.81556;0.2225995;7.63836;-4.59218;5.22466;1.34223;0.5269;0.1185;1.54482;0.0726;1.08098;-0.63825
190;116.405;3.5939903;1.80478;0.2345176;7.64811;-4.22299;5.77961;1.21941;0.57117;0.15927;2.01544;-0.10488;1.65326;-0.29268
200;113.372;3.4304576;1.78334;0.2417993;6.89419;-4.10443;6.0417;0.98468;0.2899;-0.56736;2.17668;0.27175;1.64524;-0.3497
210;114.133;3.4289081;1.80604;0.2458146;7.47397;-4.13318;5.5948;1.3953;0.00405;-0.60764;2.17858;0.24321;1.58909;-0.47558
220;112.231;3.4509721;1.79752;0.2402024;7.40498;-4.15457;5.70661;1.73876;-0.29524;-0.96294;1.95659;0.65168;1.68043;-0.72123
230;111.169;3.3445215;1.78355;0.2457248;6.53942;-4.38366;6.01862;1.26266;-0.61649;-0.75365;2.19388;0.84187;1.61366;-0.49597
240;111.239;3.3456547;1.78146;0.2559797;6.41977;-3.95946;6.14937;1.4199;-0.23201;-0.56961;1.92019;0.7665;1.37448;-0.30918
250;110.862;3.2311516;1.78527;0.2765975;6.3287;-3.71767;6.1152;0.9612;-0.63763;-0.93744;1.80084;0.48481;1.20203;-0.33368
260;110.923;3.2716475;1.79159;0.2480348;6.70212;-4.5809;5.87034;1.45372;-0.77588;-1.0278;2.13873;0.87749;1.17949;-0.24907
270;110.592;3.3394229;1.79331;0.2341664;6.74172;-4.64447;5.95701;1.88219;-0.42846;-0.70291;2.32538;0.58231;1.12281;-0.54215
280;111.103;3.350636;1.7956;0.2419036;6.78803;-4.45017;6.20332;1.94694;-0.72838;-0.74249;2.08189;0.4535;1.26233;-0.59794
290;109.269;3.251251;1.78217;0.2462457;6.35096;-4.77301;5.91743;1.84805;-0.60816;-0.34571;2.43496;0.48878;1.06979;-0.05485
300;111.122;3.2091391;1.77426;0.2616563;5.75689;-4.72273;5.90779;1.71664;-0.5886;-0.59787;2.1368;0.79578;0.92787;-0.1544
310;111.222;3.0894468;1.77065;0.2683097;5.42929;-4.80932;5.59669;1.57275;-0.84412;-0.4788;2.22199;0.91634;0.82089;0.00155
320;112.527;3.2109282;1.77794;0.2522278;6.23715;-4.44083;5.30811;1.63719;-0.91459;-0.66329;1.87378;0.52414;0.90592;-0.44637
330;111.011;3.1760917;1.77604;0.2444846;6.0227;-4.65525;5.55691;1.80904;-0.5354;0.24754;2.25855;0.34171;0.82378;-0.02952
340;111.526;3.1399481;1.76886;0.2699515;5.75206;-4.19506;4.92518;1.71515;-0.29186;0.40508;1.81959;0.29579;0.78358;0.03919
350;113.197;3.2389846;1.77915;0.2572592;6.40651;-4.16707;5.15012;1.51728;-0.64322;0.20391;1.60871;0.09288;0.79471;-0.05717
360;112.527;3.2972531;1.77379;0.2548391;6.29415;-4.41411;4.92451;1.48711;-0.1697;0.53557;1.86174;-0.04431;0.83521;0.06062
